entry,exit,direction,entry_price,atr,win_target,loss_target,result
2026-08-20 14:11:00,2026-08-20 14:18:00,short,411.4,0.38507857142855884,411.0149214285714,411.97761785714283,tie
2026-08-20 14:18:00,2026-08-20 14:19:00,long,411.49,0.33507857142856373,411.82507857142855,410.98738214285714,loss
2026-08-20 15:29:00,2026-08-20 15:30:00,short,415.64,0.44770714285713453,415.19229285714283,416.3115607142857,win
2026-08-20 15:57:00,2026-08-20 16:11:00,long,414.82,0.29015714285714417,415.11015714285713,414.38476428571425,loss
2026-08-20 16:12:00,2026-08-20 16:14:00,short,414.0,0.20735714285714835,413.7926428571428,414.3110357142857,win
2026-08-20 16:41:00,2026-08-20 16:46:00,long,413.525,0.218821428571435,413.74382142857144,413.19676785714285,win
2026-08-20 16:59:00,2026-08-20 17:01:00,short,413.53,0.16967142857142545,413.36032857142857,413.78450714285714,loss
2026-08-20 17:02:00,2026-08-20 17:08:00,long,413.69,0.1614571428571472,413.85145714285716,413.4478142857143,loss
2026-08-20 17:11:00,2026-08-20 17:21:00,short,413.45,0.15417142857143468,413.29582857142856,413.68125714285713,loss
2026-08-20 17:22:00,2026-08-20 17:27:00,long,413.78,0.15137142857142294,413.9313714285714,413.55294285714285,loss
2026-08-20 18:14:00,2026-08-20 18:16:00,short,413.63,0.1746428571428648,413.4553571428571,413.89196428571427,win
2026-08-20 18:27:00,2026-08-20 18:36:00,long,414.445,0.17811428571428678,414.6231142857143,414.17782857142856,win
2026-08-20 18:55:00,2026-08-20 19:00:00,long,414.83,0.1347285714285736,414.96472857142857,414.6279071428571,loss
2026-08-20 19:01:00,2026-08-20 19:07:00,short,414.59,0.14929285714286575,414.4407071428571,414.8139392857143,loss
2026-08-20 19:09:00,2026-08-20 19:13:00,long,415.035,0.13344285714286944,415.1684428571429,414.8348357142857,win
2026-08-20 19:30:00,2026-08-20 19:37:00,short,414.8099,0.14264285714285815,414.6672571428572,415.0238642857143,loss
2026-08-20 19:39:00,2026-08-20 19:42:00,long,415.345,0.15157142857142958,415.49657142857143,415.11764285714287,loss
2026-08-21 14:00:00,2026-08-21 14:02:00,short,420.0701,0.310142857142852,419.75995714285716,420.5353142857143,loss
2026-08-21 14:05:00,2026-08-21 14:07:00,long,421.0175,0.33479285714285617,421.35229285714286,420.5153107142857,loss
2026-08-21 14:39:00,2026-08-21 14:41:00,short,420.295,0.3165785714285708,419.97842142857144,420.76986785714286,loss
2026-08-21 14:58:00,2026-08-21 15:05:00,long,421.17,0.3032714285714308,421.4732714285714,420.71509285714285,win
2026-08-21 16:16:00,2026-08-21 16:19:00,short,423.385,0.2274714285714156,423.1575285714286,423.7262071428571,tie
2026-08-21 16:19:00,2026-08-21 16:21:00,long,423.22,0.21782857142855505,423.43782857142855,422.8932571428572,win
2026-08-21 16:30:00,2026-08-21 16:32:00,short,423.23,0.2188071428571407,423.0111928571429,423.55821071428574,win
2026-08-21 16:38:00,2026-08-21 16:43:00,long,423.7,0.18044285714285838,423.88044285714284,423.4293357142857,win
2026-08-21 17:18:00,2026-08-21 17:20:00,short,424.1801,0.23923571428571627,423.94086428571427,424.5389535714286,win
2026-08-21 17:38:00,2026-08-21 17:44:00,long,424.11,0.1842785714285802,424.2942785714286,423.83358214285715,loss
2026-08-21 17:51:00,2026-08-21 17:54:00,short,423.705,0.17391428571427728,423.5310857142857,423.9658714285714,loss
2026-08-21 18:01:00,2026-08-21 18:02:00,long,423.98,0.14425000000000768,424.12425,423.763625,win
2026-08-21 18:34:00,2026-08-21 18:35:00,short,423.99,0.11964285714286202,423.87035714285713,424.1694642857143,win
2026-08-21 18:53:00,2026-08-21 19:01:00,long,424.2,0.12260000000000153,424.32259999999997,424.0161,loss
2026-08-21 19:05:00,2026-08-21 19:07:00,short,423.74,0.13941428571429323,423.6005857142857,423.94912142857146,loss
2026-08-21 19:26:00,2026-08-21 19:28:00,long,423.95,0.10959999999999225,424.0596,423.7856,loss
2026-08-21 19:28:00,2026-08-21 19:34:00,short,423.62,0.12388571428570572,423.49611428571427,423.80582857142855,win
2026-08-21 19:48:00,2026-08-21 19:53:00,long,423.94,0.14877692857142424,424.0887769285714,423.71683460714286,win
